Date,pe,pe,pb,pb,mom,mom,cfni,cfni,art,art,leve,leve,quick,quick,a_turn,a_turn
2001/3/30,-0.079568851,-0.027664095,-0.064067041,-0.233453639,0.010993305,0.525538076,-0.055328038,-0.037673933,-0.356630548,0.006186061,0.061845925,0.296652754,0.129802869,-0.570218808,-0.051959977,-0.043951234
2001/4/30,0.051045892,-0.046095415,-0.108115764,0.06587813,-0.247190883,-0.515102575,0.11265358,0.020987506,0.029209506,0.017356838,-0.194538584,-0.278406677,0.237948586,0.509741465,0.056490908,0.117084806
2001/5/31,0.032264988,-0.05526251,-0.034680014,-0.063630897,0.272971423,0.384444325,-0.020240286,0.031378939,0.163211155,0.133008365,0.240465187,0.171142929,-0.20517576,-0.39121272,0.048230718,0.005442806
2001/6/29,0.031123023,0.065839226,0.027376851,-0.059960851,0.134190513,0.016135207,0.068152103,0.082803919,0.091075159,0.038856281,0.055646209,-0.099949849,-0.138276991,0.142646237,0.019104422,0.003809805
2001/7/31,0.009790373,-0.102770485,0.021940594,-0.124152203,0.061404169,0.329442101,0.110531271,-0.061625397,-0.123897972,0.114991621,0.298854759,0.079916961,-0.115244155,-0.546153598,-0.026751583,0.132859621
2001/8/31,0.042605476,0.003172541,0.062795683,-0.086879745,0.591270139,0.45641341,0.067046153,0.037592183,0.094385734,-0.198486848,0.379767545,0.071279444,-0.227813416,-0.430380512,0.034860209,0.040632677
2001/9/28,-0.235440469,0.000663113,0.10229796,0.066490455,0.382313621,0.24581345,-0.060465795,-0.028723267,0.039803308,-0.157323732,0.295733018,0.106999126,-0.417059778,-0.167323959,-0.044119206,0.0126674
2001/10/31,0.180689996,0.016804512,-0.065507927,0.036970748,-0.456795036,0.026755522,0.038351502,-0.091976171,-0.064569025,0.015815961,-0.46479805,0.063205889,0.4564362,0.404026489,0.021497139,-0.021577449
2001/11/30,0.248168742,0.047595227,-0.040683677,0.12488273,-0.489534261,-0.003262079,-0.014703581,-0.030201946,-0.050044857,0.038232636,-0.283754313,-0.116074953,0.268826904,0.085195596,0.147659925,0.090670596
2001/12/31,-0.110751482,-0.097371931,-0.031194989,-0.036631239,-0.119743709,-0.028383566,0.008277132,-0.05635289,-0.008319739,0.146529068,0.014322592,-0.007957863,-0.1091999,-0.146371985,0.082603207,0.099919362
2002/1/31,0.06792977,-0.009078151,0.017400604,-0.001387459,0.090431271,0.213616626,0.116645632,-0.038768595,0.109325068,0.128318006,-0.051205172,-0.127751722,-0.044440095,-0.173334887,0.078427428,0.251520506
2002/2/28,-0.193156876,-0.024074527,0.019887796,-0.004514455,0.016379219,0.269181455,0.044176703,-0.100640341,0.199761383,0.122686492,0.322557167,-0.114416702,-0.392349827,-0.276778043,0.024865651,0.1150935
2002/3/29,0.072549897,-0.069292592,-0.062795436,-0.186133374,-0.388401816,-0.324128604,0.073539947,-0.060009392,0.086345766,-0.094190279,0.06601592,0.042204445,0.006830175,0.074010201,-0.076715718,-0.061704889
2002/4/30,-0.228116403,-0.165506921,-0.127863678,-0.047980172,0.018584731,0.194654957,0.048741866,-0.122904222,0.051335664,0.150353301,0.229915852,0.098259526,-0.294055765,-0.254652712,0.198673412,0.233813725
2002/5/31,-0.013969583,0.082676682,0.057118115,-0.02518867,0.162441583,0.107689623,0.167793378,0.021141453,0.09326908,0.063775681,0.064464625,0.137397745,-0.063108265,-0.189894062,0.114329393,-0.086738515
2002/6/28,-0.164881566,-0.109543999,0.044910423,0.031313024,0.360123698,0.425391617,0.057205672,-0.052579206,0.083200435,0.114900727,0.065988137,-0.003335424,-0.205307299,-0.190340151,0.057650063,0.145286799
2002/7/31,-0.142380494,0.003604997,0.079999743,0.06331678,0.245098475,0.121024403,0.070116497,-0.149002769,0.026070633,0.005513218,0.014445827,-0.085752486,0.025952649,0.233197506,-0.036137548,0.049166517
2002/8/30,-0.109839807,0.117105758,-0.033040863,-0.046917381,0.046116051,-0.188275141,-0.020567956,0.126415289,-0.046712757,-0.043477528,0.234707432,0.212928133,-0.073336379,-0.160410387,-0.247718238,-0.136787203
